property,level,runtime,improved,error
oxidation_potential,xtb-vertical,37.876903208496515,True,0.15219668013901355
oxidation_potential,xtb-acn-vertical,38.34692757848825,False,0.1775853817347297
oxidation_potential,xtb-adiabatic,77.97701142403821,True,0.13589330530851385
oxidation_potential,xtb-acn-adiabatic,78.49127393352683,False,0.15894914055922982
oxidation_potential,mopac_pm7-vertical,156.11732542855316,False,0.28949794610823076
oxidation_potential,mopac_pm7-acn-vertical,166.8982549465145,True,0.10367118636059391
oxidation_potential,mopac_pm7-adiabatic,360.66250382200815,False,0.2571533491068929
oxidation_potential,mopac_pm7-acn-adiabatic,365.08351346250856,False,0.12568131571710994
oxidation_potential,cp2k_b3lyp_svp-vertical,5733.627825237978,True,0.09947702700264927
oxidation_potential,cp2k_b3lyp_svp-acn-vertical,8792.874521865044,True,0.05934086799970828
oxidation_potential,cp2k_b3lyp_svp-adiabatic,19111.75882022349,False,0.06783188000008522
oxidation_potential,cp2k_b3lyp_svp-acn-adiabatic,18852.75919006284,True,0.026376494497526437
oxidation_potential,cp2k_b3lyp_tzvpd-vertical,24588.284355478987,False,0.07589506200383767
oxidation_potential,cp2k_b3lyp_tzvpd-acn-vertical,24718.176290373813,False,0.051330038000742206
oxidation_potential,cp2k_b3lyp_tzvpd-adiabatic,42652.70364323443,False,0.09591307200025767
oxidation_potential,cp2k_b3lyp_tzvpd-acn-adiabatic,43221.44751843787,True,0.025698778004880296
oxidation_potential,cp2k_wb97x_d3_tzvpd-vertical,48092.10029272092,False,0.15006579499822692
oxidation_potential,cp2k_wb97x_d3_tzvpd-acn-vertical,45269.89085280807,True,0.025231140998585033
oxidation_potential,cp2k_wb97x_d3_tzvpd-adiabatic,59961.183705520045,False,0.09539445000154956
oxidation_potential,cp2k_wb97x_d3_tzvpd-acn-adiabatic,61459.845666402995,True,0.0
reduction_potential,xtb-vertical,44.346284731989726,True,0.308164311183873
reduction_potential,xtb-acn-vertical,45.35794405598426,False,0.33143850668898267
reduction_potential,xtb-adiabatic,88.70133608297328,True,0.2593447907290738
reduction_potential,xtb-acn-adiabatic,89.25227731096675,False,0.3050821382619233
reduction_potential,mopac_pm7-vertical,173.05338000995107,True,0.20939832757453392
reduction_potential,mopac_pm7-acn-vertical,178.21576758893207,True,0.16008890542675935
reduction_potential,mopac_pm7-adiabatic,622.1908575548732,False,0.23983994167177203
reduction_potential,mopac_pm7-acn-adiabatic,625.4492388948856,False,0.18329115643063343
reduction_potential,cp2k_b3lyp_svp-vertical,6526.662137306019,True,0.15687089600032778
reduction_potential,cp2k_b3lyp_svp-acn-vertical,9002.835627602486,True,0.11883282199960377
reduction_potential,cp2k_b3lyp_svp-adiabatic,19347.32699577202,False,0.12966683999911766
reduction_potential,cp2k_b3lyp_svp-acn-adiabatic,20191.016948917008,True,0.09515330999784055
reduction_potential,cp2k_b3lyp_tzvpd-vertical,32069.441882062092,False,0.1908529269931023
reduction_potential,cp2k_b3lyp_tzvpd-acn-vertical,32081.867340451514,True,0.029382274997260538
reduction_potential,cp2k_b3lyp_tzvpd-adiabatic,48670.20043409089,False,0.09554798999670311
reduction_potential,cp2k_b3lyp_tzvpd-acn-adiabatic,49908.83318660487,False,0.04001120400062064
reduction_potential,cp2k_wb97x_d3_tzvpd-vertical,41458.245353354025,False,0.11085218700100086
reduction_potential,cp2k_wb97x_d3_tzvpd-acn-vertical,43587.16060587298,False,0.05368331299905549
reduction_potential,cp2k_wb97x_d3_tzvpd-adiabatic,72129.384416708,False,0.05505261400321615
reduction_potential,cp2k_wb97x_d3_tzvpd-acn-adiabatic,74774.53835476002,True,0.0
